dth_suic_slf_inj_0_74_yrs_2011_15_num, dth_suic_slf_inj_0_74_yrs_2011_15_avg_yr_asr_100k_up_95pc_ci, dth_suic_slf_inj_0_74_yrs_2011_15_avg_yr_asr_100k, dth_suic_slf_inj_0_74_yrs_2011_15_sig, lga_code, dth_suic_slf_inj_0_74_yrs_2011_15_avg_yr_asr_100k_lo_95pc_ci, dth_suic_slf_inj_0_74_yrs_2011_15_sdr_lo_95pc_ci, dth_suic_slf_inj_0_74_yrs_2011_15_sdr_up_95pc_ci, dth_suic_slf_inj_0_74_yrs_2011_15_sdr
8,17.457,10.312,null,"15650",3.166,27,152,89
12,22.291,14.237,null,"15700",6.183,54,193,124
11,28.454,17.82,null,"15750",7.187,62,247,155
6,40.269,22.19,null,"15800",4.112,36,350,193
null,null,null,null,"15850",null,null,null,null
96,15.482,12.905,null,"15900",10.327,90,134,112
26,9.759,7.046,"*","15950",4.332,38,85,61
91,9.129,7.573,"**","15990",6.017,52,79,66
null,null,null,null,"16100",null,null,null,null
24,18.522,13.219,null,"16150",7.916,69,161,115
7,19.376,11.245,null,"16200",3.113,27,168,98
69,8.243,6.674,"**","16260",5.104,44,72,58
94,12.645,10.523,null,"16350",8.401,73,110,91
13,11.877,7.712,null,"11300",3.547,31,103,67
26,23.813,17.215,"*","11350",10.617,92,207,149
8,23.135,13.769,null,"11400",4.403,38,201,120
21,10.201,7.144,"*","11450",4.088,35,89,62
77,12.99,10.619,null,"11500",8.248,72,113,92
24,8.127,5.796,"**","11520",3.465,30,71,50
99,7.51,6.273,"**","11570",5.036,44,65,54
null,null,null,null,"11600",null,null,null,null
169,13.329,11.582,null,"11650",9.836,85,116,101
null,null,null,null,"11700",null,null,null,null
41,21.622,16.543,"*","11720",11.464,100,188,144
28,16.69,12.151,null,"11730",7.611,66,145,105
6,48.294,26.817,"*","11750",5.341,46,419,233
46,18.244,14.144,null,"11800",10.044,87,158,123
null,null,null,null,"12000",null,null,null,null
null,null,null,null,"12150",null,null,null,null
8,25.247,14.986,null,"12350",4.725,41,219,130
63,8.026,6.44,"**","12380",4.853,42,70,56
9,36.34,21.98,"*","12700",7.62,66,315,191
null,null,null,null,"12730",null,null,null,null
19,16.678,11.483,null,"12750",6.289,55,145,100
52,7.066,5.556,"**","12850",4.047,35,61,48
5,17.486,9.35,null,"12870",1.214,11,152,81
null,null,null,null,"12900",null,null,null,null
48,9.025,7.034,"**","12930",5.043,44,78,61
0,0.0,0.0,null,"12950",0.0,0,0,0
null,null,null,null,"13010",null,null,null,null
12,36.315,23.192,"*","33800",10.07,87,315,201
21,22.669,15.868,null,"13310",9.067,79,197,138
null,null,null,null,"13340",null,null,null,null
9,12.538,7.519,null,"13450",2.501,22,109,65
null,null,null,null,"13510",null,null,null,null
null,null,null,null,"13550",null,null,null,null
null,null,null,null,"13660",null,null,null,null
33,14.556,10.854,null,"13800",7.151,62,126,94
null,null,null,null,"13850",null,null,null,null
32,12.965,9.629,null,"16380",6.292,55,113,84
48,19.913,15.517,"*","16400",11.121,97,173,135
31,15.44,11.406,null,"16490",7.373,64,134,99
47,8.635,6.715,"**","16550",4.795,42,75,58
19,27.869,19.23,"*","16610",10.591,92,242,167
23,6.5,4.627,"**","16650",2.753,24,56,40
31,7.675,5.673,"**","16700",3.671,32,67,49
28,12.417,9.061,null,"16900",5.705,50,108,79
69,19.768,15.994,"**","16950",12.22,106,172,139
6,9.944,5.557,null,"17000",1.17,10,86,48
null,null,null,null,"33830",null,null,null,null
13,21.397,13.901,null,"17040",6.406,56,186,121
14,32.365,21.234,"*","17080",10.103,88,281,184
45,7.993,6.18,"**","17420",4.366,38,69,54
61,19.325,15.448,"*","17550",11.571,100,168,134
7,18.807,10.803,null,"17620",2.799,24,163,94
null,null,null,null,"17640",null,null,null,null
null,null,null,null,"17650",null,null,null,null
39,18.098,13.762,null,"17750",9.427,82,157,119
null,null,null,null,"17850",null,null,null,null
8,41.697,24.347,"*","17900",6.997,61,362,211
null,null,null,null,"17950",null,null,null,null
7,27.05,15.328,null,"18020",3.606,31,235,133
29,11.106,8.143,null,"18050",5.179,45,96,71
5,58.073,30.952,"*","18100",3.832,33,504,269
null,null,null,null,"18200",null,null,null,null
15,10.088,6.683,"*","18230",3.279,28,88,58
31,11.96,8.853,null,"18250",5.745,50,104,77
19,13.381,9.232,null,"18350",5.082,44,116,80
22,14.593,10.284,null,"18400",5.976,52,127,89
97,12.32,10.275,null,"18450",8.23,71,107,89
null,null,null,null,"54060",null,null,null,null
23,11.393,8.067,null,"18500",4.74,41,99,70
11,22.71,14.154,null,"18710",5.599,49,197,123
0,0.0,0.0,null,"19399",0.0,0,0,0
null,null,null,null,"20110",null,null,null,null
7,24.075,13.84,null,"20260",3.606,31,209,120
59,16.495,13.142,null,"20570",9.788,85,143,114
57,12.304,9.768,null,"20660",7.232,63,107,85
20,20.698,14.399,null,"20740",8.1,70,180,125
30,19.936,14.674,null,"20830",9.412,82,173,127
38,11.201,8.499,null,"20910",5.797,50,97,74
14,35.073,22.995,"**","21010",10.918,95,304,200
48,7.631,5.948,"**","21110",4.266,37,66,52
85,11.049,9.112,"*","21180",7.175,62,96,79
6,40.382,22.43,null,"21270",4.478,39,350,195
14,13.017,8.533,null,"21370",4.049,35,113,74
55,18.139,14.341,null,"21450",10.543,92,157,124
120,11.006,9.336,"*","21610",7.666,67,96,81
11,31.466,19.726,null,"21670",7.987,69,273,171
null,null,null,null,"54130",null,null,null,null
15,24.343,16.159,null,"21750",7.975,69,211,140
10,23.351,14.456,null,"21830",5.562,48,203,125
57,10.083,8.005,"**","21890",5.927,51,88,69
33,22.975,17.124,"*","22110",11.272,98,199,149
79,15.361,12.586,null,"22170",9.81,85,133,109
null,null,null,null,"22250",null,null,null,null
42,19.475,14.958,null,"22830",10.441,91,169,130
5,14.303,7.723,null,"22910",1.143,10,124,67
null,null,null,null,"22980",null,null,null,null
43,13.086,10.084,null,"23110",7.081,61,114,88
9,17.018,10.292,null,"23190",3.565,31,148,89
59,8.682,6.921,"**","23270",5.16,45,75,60
10,22.85,14.104,null,"23350",5.357,46,198,122
66,11.475,9.245,null,"23430",7.014,61,100,80
65,10.901,8.769,"*","23670",6.637,58,95,76
43,16.597,12.781,null,"23810",8.966,78,144,111
null,null,null,null,"23940",null,null,null,null
35,22.695,17.047,"*","24130",11.399,99,197,148
32,7.85,5.832,"**","24210",3.813,33,68,51
null,null,null,null,"24250",null,null,null,null
40,13.159,10.046,null,"24330",6.933,60,114,87
53,13.141,10.357,null,"24410",7.573,66,114,90
60,11.842,9.451,null,"24600",7.06,61,103,82
53,11.694,9.207,null,"24650",6.721,58,101,80
36,20.386,15.366,null,"24780",10.347,90,177,133
22,18.172,12.819,null,"24850",7.467,65,158,111
17,20.137,13.649,null,"24900",7.161,62,175,118
49,7.275,5.683,"**","24970",4.092,36,63,49
40,9.543,7.285,"**","25060",5.027,44,83,63
16,16.907,11.329,null,"25150",5.752,50,147,98
56,9.215,7.306,"**","25250",5.397,47,80,63
81,14.598,11.987,null,"25340",9.377,81,127,104
84,9.834,8.103,"**","17150",6.372,55,85,70
137,14.642,12.542,null,"17200",10.441,91,127,109
34,17.208,12.885,null,"17310",8.562,74,149,112
null,null,null,null,"17350",null,null,null,null
12,9.883,6.309,"*","17100",2.734,24,86,55
15,72.456,48.109,"**","17400",23.763,206,629,418
7,13.672,7.87,null,"22410",2.068,18,119,68
16,25.707,17.253,null,"22490",8.799,76,223,150
51,13.683,10.742,null,"22620",7.802,68,119,93
59,10.723,8.543,"*","22670",6.363,55,93,74
111,12.928,10.899,null,"22750",8.871,77,112,95
15,26.437,17.471,null,"25430",8.505,74,229,152
11,24.244,15.27,null,"25490",6.297,55,210,133
7,19.218,11.043,null,"25620",2.867,25,167,96
25,11.51,8.269,null,"25710",5.028,44,100,72
8,25.237,14.903,null,"25810",4.569,40,219,129
65,14.548,11.703,null,"25900",8.858,77,126,102
null,null,null,null,"25990",null,null,null,null
0,0.0,0.0,null,"26080",0.0,0,0,0
12,15.053,9.602,null,"26170",4.151,36,131,83
10,22.584,13.918,null,"26260",5.252,46,196,121
40,10.081,7.696,"*","26350",5.311,46,87,67
8,31.285,18.475,null,"26430",5.665,49,272,160
9,11.776,7.143,null,"26490",2.51,22,102,62
50,9.617,7.529,"**","22310",5.442,47,83,65
12,20.471,13.073,null,"26610",5.675,49,178,113
null,null,null,null,"26670",null,null,null,null
15,18.581,12.337,null,"26700",6.094,53,161,107
21,19.81,13.85,null,"26730",7.891,68,172,120
25,18.192,13.076,null,"26810",7.961,69,158,113
null,null,null,null,"26890",null,null,null,null
60,9.989,7.968,"**","26980",5.947,52,87,69
74,10.838,8.827,"*","27070",6.816,59,94,77
19,16.228,11.195,null,"27170",6.161,53,141,97
67,9.322,7.518,"**","27260",5.713,50,81,65
37,10.882,8.223,"*","27350",5.564,48,94,71
59,10.514,8.381,"*","27450",6.247,54,91,73
6,36.028,20.039,null,"27630",4.049,35,313,174
0,0.0,0.0,null,"29399",0.0,0,0,0
null,null,null,null,"30250",null,null,null,null
null,null,null,null,"30300",null,null,null,null
11,25.821,16.229,null,"30370",6.638,58,224,141
null,null,null,null,"30410",null,null,null,null
0,0.0,0.0,null,"30450",0.0,0,0,0
null,null,null,null,"30760",null,null,null,null
null,null,null,null,"34710",null,null,null,null
90,19.094,15.825,"**","34770",12.555,109,166,137
null,null,null,null,"34800",null,null,null,null
null,null,null,null,"34830",null,null,null,null
11,28.01,17.606,null,"34860",7.202,63,243,153
26,36.623,26.455,"**","34880",16.286,141,318,230
254,15.27,13.598,"**","35010",11.927,104,133,118
null,null,null,null,"35250",null,null,null,null
31,39.669,29.352,"**","35300",19.035,165,344,255
null,null,null,null,"35600",null,null,null,null
null,null,null,null,"35670",null,null,null,null
37,20.133,15.206,null,"35740",10.28,89,175,132
11,37.697,23.695,"*","35760",9.692,84,327,206
null,null,null,null,"35780",null,null,null,null
null,null,null,null,"35790",null,null,null,null
null,null,null,null,"35800",null,null,null,null
null,null,null,null,"36070",null,null,null,null
null,null,null,null,"36150",null,null,null,null
81,14.433,11.846,null,"36250",9.259,80,125,103
null,null,null,null,"36300",null,null,null,null
58,19.747,15.705,"*","36370",11.663,101,171,136
27,21.199,15.393,null,"36510",9.587,83,184,134
24,31.72,22.656,"**","36580",13.592,118,275,197
32,30.336,22.531,"**","36630",14.726,128,263,196
24,21.63,15.44,null,"36660",9.25,80,188,134
154,14.089,12.17,null,"36720",10.25,89,122,106
23,29.713,21.092,"**","36820",12.472,108,258,183
86,14.614,12.064,null,"36910",9.515,83,127,105
null,null,null,null,"36950",null,null,null,null
null,null,null,null,"36960",null,null,null,null
132,17.477,14.929,"**","37010",12.381,107,152,130
25,26.602,19.148,"**","32260",11.694,101,231,166
15,15.932,10.636,null,"32270",5.341,46,138,92
10,29.744,18.363,null,"32310",6.981,61,258,159
0,0.0,0.0,null,"37300",0.0,0,0,0
28,26.084,19.035,"**","37310",11.986,104,226,165
36,29.311,22.094,"**","37340",14.876,129,254,192
0,0.0,0.0,null,"30900",0.0,0,0,0
632,12.473,11.571,null,"31000",10.669,93,108,100
0,0.0,0.0,null,"31750",0.0,0,0,0
63,18.804,15.08,"*","31820",11.356,99,163,131
18,33.025,22.613,"**","31900",12.2,106,287,196
null,null,null,null,"31950",null,null,null,null
129,20.486,17.467,"**","32080",14.449,125,178,152
6,110.758,61.808,"**","32250",12.859,112,961,536
null,null,null,null,"32330",null,null,null,null
5,54.817,29.235,"*","32450",3.654,32,476,254
9,69.447,41.844,"**","32500",14.242,124,603,363
0,0.0,0.0,null,"32600",0.0,0,0,0
41,17.865,13.678,null,"33360",9.491,82,155,119
342,14.964,13.53,"**","33430",12.096,105,130,117
null,null,null,null,"33610",null,null,null,null
0,0.0,0.0,null,"32750",0.0,0,0,0
7,30.573,17.589,null,"41140",4.606,40,265,153
39,23.878,18.177,"**","33620",12.475,108,207,158
null,null,null,null,"32770",null,null,null,null
8,24.618,14.577,null,"32810",4.535,39,214,127
null,null,null,null,"33100",null,null,null,null
null,null,null,null,"33200",null,null,null,null
67,18.729,15.11,"*","33220",11.491,100,163,131
131,18.499,15.794,"**","33960",13.089,114,161,137
12,16.387,10.465,null,"33980",4.544,39,142,91
null,null,null,null,"34420",null,null,null,null
24,20.513,14.651,null,"34530",8.789,76,178,127
null,null,null,null,"34570",null,null,null,null
33,25.986,19.375,"**","34580",12.764,111,226,168
173,14.412,12.543,null,"34590",10.674,93,125,109
20,24.02,16.701,null,"40070",9.381,81,208,145
21,15.941,11.162,null,"40120",6.382,55,138,97
19,24.945,17.233,null,"40220",9.521,83,217,150
78,11.909,9.746,null,"54170",7.583,66,103,85
38,18.21,13.817,null,"54200",9.424,82,158,120
null,null,null,null,"37400",null,null,null,null
null,null,null,null,"41330",null,null,null,null
8,22.363,13.202,null,"41560",4.041,35,194,115
null,null,null,null,"37550",null,null,null,null
0,0.0,0.0,null,"41750",0.0,0,0,0
17,21.661,14.72,null,"44620",7.78,68,188,128
null,null,null,null,"44830",null,null,null,null
null,null,null,null,"37570",null,null,null,null
null,null,null,null,"37600",null,null,null,null
0,0.0,0.0,null,"43080",0.0,0,0,0
10,16.96,10.406,null,"45040",3.851,33,147,90
21,18.949,13.272,null,"54830",7.596,66,164,115
0,0.0,0.0,null,"54900",0.0,0,0,0
null,null,null,null,"40250",null,null,null,null
12,18.507,11.866,null,"40310",5.226,45,161,103
null,null,null,null,"40430",null,null,null,null
6,22.84,12.662,null,"40520",2.484,22,198,110
16,11.703,7.854,null,"40700",4.006,35,102,68
16,10.147,6.804,"*","40910",3.461,30,88,59
null,null,null,null,"41010",null,null,null,null
55,13.296,10.509,null,"41060",7.723,67,115,91
8,32.891,19.428,null,"43920",5.965,52,285,169
8,17.41,10.293,null,"46450",3.176,28,151,89
null,null,null,null,"41190",null,null,null,null
18,25.186,17.235,null,"48540",9.283,81,219,150
0,0.0,0.0,null,"41830",0.0,0,0,0
null,null,null,null,"41960",null,null,null,null
13,19.818,12.774,null,"42030",5.729,50,172,111
null,null,null,null,"42110",null,null,null,null
8,34.791,20.368,null,"42250",5.945,52,302,177
25,20.206,14.515,null,"42600",8.824,77,175,126
null,null,null,null,"42750",null,null,null,null
null,null,null,null,"43220",null,null,null,null
null,null,null,null,"43360",null,null,null,null
10,24.338,15.054,null,"43650",5.77,50,211,131
null,null,null,null,"43710",null,null,null,null
7,22.649,12.9,null,"43790",3.15,27,197,112
0,0.0,0.0,null,"44000",0.0,0,0,0
54,16.681,13.172,null,"44060",9.662,84,145,114
11,46.85,29.67,"**","44210",12.491,108,407,258
33,14.476,10.776,null,"44340",7.076,61,126,94
32,29.675,22.05,"**","44550",14.426,125,258,191
40,15.825,12.097,null,"50420",8.369,73,137,105
25,18.082,12.99,null,"50490",7.898,69,157,113
0,0.0,0.0,null,"50560",0.0,0,0,0
null,null,null,null,"50630",null,null,null,null
null,null,null,null,"45090",null,null,null,null
null,null,null,null,"45120",null,null,null,null
31,23.962,17.723,"*","45290",11.484,100,208,154
100,15.477,12.945,null,"45340",10.413,90,134,112
null,null,null,null,"50770",null,null,null,null
null,null,null,null,"50840",null,null,null,null
null,null,null,null,"50910",null,null,null,null
31,51.986,38.447,"**","50980",24.907,216,451,334
0,0.0,0.0,null,"45400",0.0,0,0,0
null,null,null,null,"45540",null,null,null,null
72,23.373,18.992,"**","45680",14.611,127,203,165
68,14.783,11.944,null,"45890",9.104,79,128,104
11,26.118,16.417,null,"46090",6.715,58,227,142
6,15.305,8.356,null,"46300",1.407,12,133,73
8,13.225,7.812,null,"46510",2.398,21,115,68
5,21.89,11.665,null,"46670",1.44,12,190,101
0,0.0,0.0,null,"46860",0.0,0,0,0
0,0.0,0.0,null,"46970",0.0,0,0,0
83,15.795,12.999,null,"47140",10.204,89,137,113
null,null,null,null,"47290",null,null,null,null
null,null,null,null,"47490",null,null,null,null
null,null,null,null,"47630",null,null,null,null
45,12.403,9.592,null,"47700",6.781,59,108,83
null,null,null,null,"47800",null,null,null,null
0,0.0,0.0,null,"47910",0.0,0,0,0
11,13.665,8.591,null,"51310",3.518,31,119,75
44,12.516,9.673,null,"51330",6.83,59,109,84
9,20.181,12.198,null,"51400",4.215,37,175,106
0,0.0,0.0,null,"51470",0.0,0,0,0
6,39.075,21.883,null,"51540",4.69,41,339,190
15,12.243,8.129,null,"47980",4.015,35,106,71
14,33.885,22.11,"*","48050",10.335,90,294,192
null,null,null,null,"48130",null,null,null,null
null,null,null,null,"51960",null,null,null,null
null,null,null,null,"52030",null,null,null,null
null,null,null,null,"51610",null,null,null,null
null,null,null,null,"48260",null,null,null,null
9,28.048,16.985,null,"48340",5.923,51,243,147
37,17.902,13.553,null,"48410",9.203,80,155,118
8,22.708,13.56,null,"52660",4.413,38,197,118
null,null,null,null,"48640",null,null,null,null
5,46.946,25.326,null,"48750",3.706,32,407,220
null,null,null,null,"48830",null,null,null,null
null,null,null,null,"49399",null,null,null,null
16,14.742,9.894,null,"50080",5.046,44,128,86
49,18.515,14.464,null,"50210",10.414,90,161,126
0,0.0,0.0,null,"50250",0.0,0,0,0
11,28.504,17.916,null,"50280",7.329,64,247,156
20,38.166,26.536,"**","50350",14.906,129,331,230
null,null,null,null,"51080",null,null,null,null
null,null,null,null,"51120",null,null,null,null
32,27.059,20.06,"**","51190",13.061,113,235,174
29,25.863,18.964,"**","51260",12.066,105,224,165
null,null,null,null,"51680",null,null,null,null
6,41.941,23.298,null,"52730",4.656,40,364,202
5,20.25,10.842,null,"51750",1.434,12,176,94
70,17.718,14.357,null,"51820",10.996,95,154,125
7,26.71,15.343,null,"51890",3.977,35,232,133
25,78.182,56.181,"**","52800",34.18,297,679,488
8,51.217,30.253,"**","52870",9.289,81,445,263
null,null,null,null,"52100",null,null,null,null
5,23.398,12.531,null,"52170",1.664,14,203,109
null,null,null,null,"52240",null,null,null,null
null,null,null,null,"52310",null,null,null,null
0,0.0,0.0,null,"52380",0.0,0,0,0
null,null,null,null,"52450",null,null,null,null
null,null,null,null,"52520",null,null,null,null
null,null,null,null,"52590",null,null,null,null
null,null,null,null,"52940",null,null,null,null
0,0.0,0.0,null,"53010",0.0,0,0,0
null,null,null,null,"53080",null,null,null,null
19,20.758,14.32,null,"54310",7.881,68,180,124
null,null,null,null,"53150",null,null,null,null
null,null,null,null,"53220",null,null,null,null
12,29.962,19.267,null,"53290",8.572,74,260,167
null,null,null,null,"53360",null,null,null,null
23,21.951,15.57,null,"53430",9.189,80,191,135
null,null,null,null,"53570",null,null,null,null
null,null,null,null,"53640",null,null,null,null
30,25.775,18.995,"**","54280",12.214,106,224,165
null,null,null,null,"53710",null,null,null,null
68,14.921,12.055,null,"53780",9.19,80,130,105
34,25.144,18.842,"**","53800",12.541,109,218,164
15,128.449,85.27,"**","53920",42.09,365,1115,740
12,15.808,10.096,null,"53990",4.384,38,137,88
null,null,null,null,"54340",null,null,null,null
null,null,null,null,"54410",null,null,null,null
null,null,null,null,"54480",null,null,null,null
null,null,null,null,"54550",null,null,null,null
0,0.0,0.0,null,"54620",0.0,0,0,0
null,null,null,null,"54690",null,null,null,null
0,0.0,0.0,null,"54760",0.0,0,0,0
null,null,null,null,"54970",null,null,null,null
null,null,null,null,"55040",null,null,null,null
64,22.456,18.028,"**","55110",13.6,118,195,156
9,34.758,21.021,null,"55180",7.285,63,302,182
null,null,null,null,"55250",null,null,null,null
52,13.337,10.483,null,"55320",7.628,66,116,91
0,0.0,0.0,null,"55950",0.0,0,0,0
0,0.0,0.0,null,"55530",0.0,0,0,0
27,19.51,14.145,null,"56090",8.779,76,169,123
0,0.0,0.0,null,"55390",0.0,0,0,0
5,64.2,34.501,"**","55460",4.802,42,557,299
null,null,null,null,"56620",null,null,null,null
null,null,null,null,"55600",null,null,null,null
null,null,null,null,"55670",null,null,null,null
null,null,null,null,"56930",null,null,null,null
0,0.0,0.0,null,"56860",0.0,0,0,0
16,28.257,18.896,"*","57280",9.536,83,245,164
null,null,null,null,"57350",null,null,null,null
null,null,null,null,"57420",null,null,null,null
102,22.135,18.537,"**","57490",14.94,130,192,161
null,null,null,null,"65010",null,null,null,null
null,null,null,null,"65210",null,null,null,null
15,34.611,22.981,"**","65410",11.351,99,300,199
null,null,null,null,"65610",null,null,null,null
18,25.442,17.46,null,"65810",9.478,82,221,152
6,24.332,13.488,null,"55740",2.644,23,211,117
null,null,null,null,"55810",null,null,null,null
0,0.0,0.0,null,"55880",0.0,0,0,0
0,0.0,0.0,null,"56160",0.0,0,0,0
19,37.781,26.031,"**","56230",14.28,124,328,226
null,null,null,null,"56300",null,null,null,null
11,51.885,32.545,"**","74660",13.205,115,450,282
5,69.331,37.76,"**","74680",6.19,54,602,328
8,32.439,19.196,null,"79399",5.953,52,282,167
null,null,null,null,"56370",null,null,null,null
0,0.0,0.0,null,"59350",0.0,0,0,0
null,null,null,null,"56460",null,null,null,null
10,14.944,9.165,null,"56580",3.385,29,130,80
6,28.92,16.065,null,"61210",3.21,28,251,139
8,26.376,15.58,null,"56730",4.784,42,229,135
null,null,null,null,"56790",null,null,null,null
0,0.0,0.0,null,"57630",0.0,0,0,0
12,18.983,12.113,null,"57700",5.244,46,165,105
0,0.0,0.0,null,"57770",0.0,0,0,0
20,12.83,8.919,null,"57840",5.007,43,111,77
140,15.48,13.281,null,"57910",11.083,96,134,115
6,11.278,6.271,null,"57980",1.263,11,98,54
74,15.578,12.693,null,"58050",9.808,85,135,110
null,null,null,null,"58190",null,null,null,null
0,0.0,0.0,null,"58260",0.0,0,0,0
22,12.575,8.856,null,"61410",5.137,45,109,77
7,26.79,15.439,null,"61510",4.087,35,233,134
null,null,null,null,"57000",null,null,null,null
13,17.454,11.261,null,"57080",5.069,44,151,98
null,null,null,null,"57140",null,null,null,null
6,44.64,24.797,null,"57210",4.955,43,387,215
null,null,null,null,"58330",null,null,null,null
8,12.012,7.116,null,"61610",2.221,19,104,62
null,null,null,null,"61810",null,null,null,null
null,null,null,null,"62010",null,null,null,null
null,null,null,null,"62210",null,null,null,null
0,0.0,0.0,null,"62410",0.0,0,0,0
33,21.253,15.839,null,"62610",10.425,90,184,137
44,23.12,17.843,"**","62810",12.566,109,201,155
13,26.811,17.369,null,"63010",7.928,69,233,151
null,null,null,null,"63210",null,null,null,null
null,null,null,null,"63410",null,null,null,null
21,18.747,13.131,null,"63610",7.515,65,163,114
0,0.0,0.0,null,"58400",0.0,0,0,0
null,null,null,null,"63810",null,null,null,null
45,18.701,14.459,null,"64010",10.218,89,162,125
13,22.15,14.335,null,"64210",6.521,57,192,124
8,23.325,13.8,null,"64610",4.275,37,202,120
9,24.125,14.705,null,"64810",5.284,46,209,128
0,0.0,0.0,null,"58470",0.0,0,0,0
14,11.118,7.276,null,"58510",3.434,30,96,63
28,27.779,20.27,"**","70200",12.762,111,241,176
null,null,null,null,"58540",null,null,null,null
16,49.316,32.995,"**","71300",16.675,145,428,286
10,31.719,19.572,null,"72200",7.425,64,275,170
26,32.605,23.51,"**","72300",14.414,125,283,204
22,16.505,11.613,null,"58570",6.722,58,143,101
null,null,null,null,"58610",null,null,null,null
null,null,null,null,"58680",null,null,null,null
82,12.264,10.081,null,"58760",7.899,69,106,87
8,76.36,45.104,"**","58820",13.849,120,663,391
null,null,null,null,"58890",null,null,null,null
0,0.0,0.0,null,"59030",0.0,0,0,0
14,14.346,9.421,null,"72800",4.496,39,125,82
11,56.084,35.267,"**","73600",14.45,125,487,306
null,null,null,null,"74050",null,null,null,null
5,68.575,36.742,"**","74550",4.909,43,595,319
0,0.0,0.0,null,"59100",0.0,0,0,0
null,null,null,null,"74560",null,null,null,null
null,null,null,null,"59170",null,null,null,null
null,null,null,null,"59250",null,null,null,null
164,10.313,8.944,"**","89399",7.575,66,90,78
null,null,null,null,"59310",null,null,null,null
0,0.0,0.0,null,"59320",0.0,0,0,0
null,null,null,null,"59330",null,null,null,null
17,60.668,41.118,"**","59340",21.568,187,527,357
null,null,null,null,"59360",null,null,null,null
null,null,null,null,"59370",null,null,null,null
6,36.183,20.108,null,"60210",4.033,35,314,175
6,14.929,8.247,null,"60410",1.565,14,130,72
14,24.098,15.895,null,"60610",7.692,67,209,138
13,20.318,13.242,null,"60810",6.167,54,176,115
5,85.372,45.672,"**","61010",5.973,52,741,396
7,32.404,18.483,null,"70420",4.561,40,281,160
0,0.0,0.0,null,"70540",0.0,0,0,0
8,69.21,40.567,"**","70620",11.924,103,601,352
null,null,null,null,"70700",null,null,null,null
54,16.716,13.198,null,"71000",9.679,84,145,115
9,46.311,28.214,"**","72330",10.117,88,402,245
