est_ppl_15yrs_plus_poor_slf_ass_hlth_2014_15_asr_100, est_ppl_15yrs_plus_poor_slf_ass_hlth_2014_15_asr_100_lo_95pc_ci, pha_code
15.5,14.7,"40061"
6.8,6.5,"10043"
16.1,15.6,"10028"
16.3,15.9,"10099"
18.3,17.7,"10102"
21.8,21.2,"20131"
14.3,13.7,"10294"
19.4,18.5,"10236"
12.8,12.3,"10072"
14.9,14.0,"10295"
22.8,22.1,"10143"
12.6,12.1,"10001"
19.8,19.2,"20132"
8.9,8.5,"40003"
14.1,13.4,"10194"
9.8,9.4,"10121"
17.5,16.9,"10011"
11.0,10.6,"10068"
20.4,19.3,"20007"
17.3,16.4,"20011"
15.4,14.6,"10319"
15.0,14.5,"10109"
16.8,16.0,"40045"
15.9,15.3,"20054"
11.0,10.7,"10067"
21.8,21.2,"10144"
14.9,14.4,"10073"
9.7,9.3,"10150"
14.0,13.4,"20023"
16.7,15.9,"10298"
20.5,19.8,"10299"
18.3,17.7,"10156"
7.4,7.2,"10016"
9.2,8.7,"10017"
7.9,7.6,"10015"
17.6,17.2,"10147"
20.4,19.3,"10274"
17.7,17.0,"10175"
15.7,14.9,"10166"
13.3,12.7,"10196"
19.2,18.6,"10313"
5.7,5.3,"10044"
14.7,14.0,"10264"
20.6,19.9,"10202"
13.4,12.9,"10272"
10.0,9.6,"10077"
18.9,18.1,"10123"
13.6,13.0,"10010"
17.3,16.7,"10100"
11.9,11.2,"10139"
17.4,16.9,"10189"
10.6,10.1,"10045"
14.3,13.4,"10254"
14.0,13.0,"10165"
17.8,17.0,"10231"
12.9,12.1,"20048"
15.1,14.2,"10176"
16.2,15.5,"10177"
7.8,7.5,"10086"
10.2,9.8,"10093"
16.9,16.3,"10221"
14.0,13.6,"20044"
10.1,9.7,"10151"
10.3,9.4,"10199"
10.3,10.0,"10152"
11.9,11.6,"10092"
12.5,11.9,"60013"
15.1,14.2,"60021"
6.9,6.6,"10018"
16.3,15.7,"10197"
15.4,14.8,"10198"
11.4,10.8,"40002"
null,null,"40082"
13.1,12.3,"40008"
14.2,13.8,"10074"
10.5,10.0,"10104"
17.5,16.9,"10237"
24.7,24.0,"40022"
5.5,5.3,"10083"
11.1,10.8,"10133"
14.4,13.4,"10222"
18.2,17.3,"40097"
11.1,10.7,"40041"
15.8,15.0,"10157"
15.2,14.8,"10128"
17.6,16.7,"10204"
19.5,18.9,"40053"
15.6,14.2,"10170"
16.2,15.4,"10280"
13.7,13.3,"10110"
11.8,11.5,"40037"
13.1,12.7,"10038"
11.1,10.7,"10153"
11.5,11.0,"80000"
7.8,7.5,"10132"
14.2,13.7,"10273"
12.4,12.0,"10002"
13.7,13.3,"10122"
14.9,14.3,"10116"
12.3,11.8,"10111"
11.7,11.3,"10024"
19.4,18.7,"10246"
16.7,15.9,"10300"
13.4,2.2,"80024"
21.1,19.8,"10296"
21.3,20.5,"10124"
20.9,20.4,"10141"
19.3,18.8,"10145"
13.3,12.8,"10232"
20.3,19.1,"20082"
11.5,11.0,"10000"
18.2,17.0,"10260"
15.9,15.4,"10003"
18.4,17.7,"10185"
19.2,18.7,"10125"
18.5,17.8,"20264"
15.5,15.1,"10138"
18.2,17.8,"10051"
14.0,13.4,"10126"
17.2,16.5,"10308"
13.5,12.8,"20050"
17.3,16.9,"10127"
16.6,16.0,"10285"
11.1,10.6,"10233"
13.0,12.6,"10148"
13.3,12.6,"10075"
11.8,11.4,"10081"
15.6,14.8,"10287"
9.6,9.2,"20045"
11.7,10.6,"10146"
15.2,14.6,"10140"
14.8,14.3,"10059"
13.6,12.9,"10004"
18.8,18.3,"20172"
5.6,5.3,"10084"
6.8,6.5,"10078"
17.1,16.4,"20051"
15.0,14.3,"60022"
11.8,11.3,"60015"
13.4,5.7,"80023"
21.3,20.1,"60011"
15.5,14.6,"10320"
15.0,14.5,"10056"
14.5,13.8,"10065"
18.7,17.8,"20189"
null,null,"10224"
16.0,15.6,"10101"
12.5,11.9,"10302"
18.3,17.6,"10180"
19.1,18.1,"10179"
18.6,17.8,"10238"
19.6,19.0,"10239"
13.3,12.8,"10046"
17.9,17.4,"10112"
13.7,13.4,"10066"
17.2,16.5,"20138"
17.7,16.5,"60016"
10.9,10.4,"10227"
15.3,14.8,"10303"
13.5,12.9,"10286"
13.5,12.8,"10190"
19.7,19.0,"10205"
19.4,19.0,"10057"
15.3,14.9,"10023"
14.2,13.6,"10242"
15.9,14.9,"10212"
11.3,10.5,"10297"
17.8,17.1,"10310"
11.4,10.9,"10070"
16.2,15.7,"10120"
19.3,18.7,"20130"
19.5,18.8,"10301"
22.2,21.6,"10149"
null,null,"10241"
17.5,16.0,"10218"
13.4,12.9,"10135"
16.3,15.6,"10240"
18.1,17.1,"70013"
17.8,16.5,"10174"
18.5,17.9,"10288"
22.9,21.3,"10268"
14.5,14.0,"10187"
16.8,16.3,"10207"
11.6,10.8,"10208"
14.7,14.2,"10184"
15.6,14.9,"10178"
17.4,16.9,"10209"
13.5,13.2,"10047"
14.4,13.7,"20218"
15.2,14.7,"30190"
7.5,7.2,"10089"
18.4,17.8,"10033"
9.3,8.9,"10154"
11.3,10.8,"10289"
19.2,18.6,"20002"
13.3,12.6,"70005"
13.5,12.8,"80017"
10.8,10.4,"10163"
18.5,17.4,"10265"
16.4,15.4,"10304"
9.8,9.2,"80022"
12.5,11.8,"10171"
12.4,11.6,"10328"
16.0,15.1,"10262"
14.2,13.6,"10263"
20.5,19.6,"10062"
16.5,15.8,"20208"
12.2,11.8,"10060"
5.4,5.2,"10088"
13.4,12.6,"10329"
16.0,15.3,"10219"
13.8,13.2,"10097"
24.3,23.7,"10027"
19.5,18.8,"10029"
15.8,14.8,"60044"
11.5,11.1,"10136"
8.8,8.4,"10087"
18.6,17.7,"10305"
11.9,11.5,"10130"
14.8,14.2,"10169"
15.4,14.6,"10217"
9.4,8.9,"10082"
16.4,15.8,"10321"
16.2,15.5,"10129"
8.4,8.0,"20181"
20.7,20.0,"10322"
13.6,12.9,"10247"
11.3,10.9,"20141"
17.8,17.2,"10183"
15.7,14.6,"20068"
11.9,11.5,"10155"
14.1,13.5,"10052"
13.0,12.5,"10053"
15.2,14.7,"10243"
17.5,16.8,"10269"
17.2,16.5,"10244"
19.2,18.1,"20069"
10.6,10.0,"10113"
15.3,14.7,"10034"
14.8,14.1,"10223"
20.8,19.7,"60010"
24.6,22.9,"60004"
15.9,15.3,"10030"
13.4,12.9,"10025"
11.2,10.8,"10048"
20.4,19.6,"10213"
17.3,16.4,"10311"
18.6,18.2,"10039"
15.6,14.9,"10054"
15.2,14.7,"10114"
15.7,14.9,"10026"
15.6,14.8,"10058"
14.9,14.1,"80004"
9.4,8.5,"10214"
9.6,9.2,"10020"
11.0,10.5,"50063"
7.9,7.5,"10134"
16.6,16.0,"10191"
17.5,16.3,"10325"
16.4,15.6,"20228"
15.8,15.3,"20094"
14.7,14.0,"10228"
15.0,14.3,"10317"
15.0,14.3,"10206"
9.7,9.4,"10061"
13.7,13.0,"20041"
15.8,15.2,"10266"
16.3,15.6,"60020"
11.4,10.8,"80016"
17.0,16.4,"10323"
14.0,13.5,"40050"
14.8,14.3,"10167"
16.2,15.3,"10200"
18.5,17.9,"20222"
5.9,5.6,"10085"
19.5,18.9,"10117"
12.9,12.4,"10040"
13.4,13.1,"10036"
15.1,14.4,"10267"
18.0,17.0,"10290"
8.7,8.3,"10076"
14.8,14.1,"10275"
17.7,16.7,"10035"
14.0,13.5,"10037"
12.2,11.6,"80008"
13.6,13.1,"80011"
11.2,10.6,"10159"
15.1,14.5,"10160"
17.9,17.4,"10248"
14.6,14.1,"50065"
13.7,13.1,"80010"
6.1,5.4,"80012"
10.6,10.2,"10005"
15.0,14.1,"10210"
13.5,12.9,"10131"
18.5,17.9,"40025"
12.7,11.8,"10215"
19.9,19.3,"10229"
13.0,12.4,"10277"
14.8,14.3,"10281"
17.7,16.5,"10312"
13.7,13.1,"10314"
17.3,16.7,"10306"
16.2,15.8,"10307"
16.3,15.7,"10315"
13.2,12.2,"10115"
14.5,13.9,"10324"
16.2,15.8,"10006"
9.7,9.2,"10276"
15.1,14.3,"20227"
16.1,15.2,"20271"
17.8,16.9,"10316"
15.8,15.2,"10291"
9.0,8.5,"80013"
17.3,16.6,"20232"
12.6,11.8,"10282"
12.7,11.7,"10158"
17.5,16.9,"20123"
13.1,12.5,"10012"
16.7,16.1,"10009"
8.0,7.6,"10095"
9.6,9.3,"10094"
13.1,12.7,"20043"
17.2,16.7,"20076"
20.4,19.5,"20195"
6.8,6.5,"20020"
18.1,16.4,"60046"
25.8,23.5,"60005"
16.3,15.6,"20259"
17.1,16.6,"10008"
13.8,13.1,"10216"
6.0,5.7,"10079"
16.1,15.6,"10234"
14.9,14.1,"10192"
14.4,13.8,"10235"
17.6,16.6,"10013"
16.0,15.5,"20137"
20.8,20.0,"20192"
13.8,13.1,"20022"
14.1,13.5,"20184"
16.4,16.0,"20003"
17.4,16.9,"20238"
19.5,18.8,"20247"
15.5,14.8,"20151"
20.0,19.3,"20152"
21.9,21.1,"20153"
14.2,12.8,"20250"
19.0,18.4,"20251"
22.2,21.7,"20142"
15.4,14.7,"20160"
20.4,19.9,"20187"
8.6,8.3,"20027"
22.5,21.3,"20145"
14.3,13.9,"20100"
15.0,14.4,"20239"
17.7,17.1,"20269"
14.5,13.7,"20185"
17.0,16.4,"20186"
12.1,11.4,"40065"
17.3,16.6,"20262"
13.3,12.9,"20032"
11.9,11.5,"20114"
8.0,7.7,"20039"
14.4,13.9,"20240"
12.4,11.5,"50098"
16.8,15.8,"20231"
16.3,15.7,"20209"
25.5,24.7,"20088"
16.4,16.0,"20197"
11.6,11.2,"20118"
13.8,13.2,"20119"
12.4,12.0,"20035"
13.6,13.1,"20036"
22.4,21.5,"20156"
6.9,6.7,"20040"
18.8,18.0,"20008"
19.3,17.9,"20206"
25.9,24.9,"20087"
14.5,13.8,"20270"
17.3,16.7,"20000"
16.3,15.2,"20201"
18.0,17.5,"20001"
14.8,14.1,"50013"
12.0,11.2,"20115"
14.6,14.0,"20037"
19.4,18.4,"20143"
14.3,12.9,"20253"
16.3,15.3,"20047"
21.1,20.2,"20196"
14.5,14.1,"20124"
16.9,16.2,"20202"
13.5,13.1,"20108"
16.2,15.4,"20272"
15.5,14.9,"20273"
20.2,19.4,"20024"
10.8,10.5,"20139"
8.6,8.1,"40006"
20.4,19.7,"40056"
20.5,19.8,"40024"
13.2,12.7,"70000"
15.2,14.3,"20255"
14.5,13.6,"40068"
17.8,17.3,"40054"
12.8,11.9,"40062"
15.7,15.0,"20223"
14.2,13.5,"50083"
12.5,11.8,"40033"
10.7,10.1,"40048"
10.6,10.3,"40042"
15.5,14.8,"40027"
16.7,16.2,"40029"
22.3,21.7,"40058"
17.3,16.8,"40038"
15.0,14.4,"20129"
14.5,13.6,"40016"
14.2,13.6,"40032"
11.0,10.5,"40014"
16.0,15.2,"70002"
15.8,15.2,"20263"
15.4,14.6,"40074"
15.9,15.3,"40017"
19.3,17.9,"60040"
18.5,17.0,"40069"
16.8,15.6,"40090"
15.9,15.4,"40049"
17.2,16.2,"20224"
11.6,11.0,"40004"
25.8,24.8,"20092"
13.7,12.9,"50005"
14.1,13.4,"40005"
17.0,16.0,"40071"
16.8,15.9,"40098"
16.5,15.3,"40092"
17.6,17.1,"40093"
20.4,19.6,"40101"
11.8,11.4,"40013"
15.2,14.4,"40091"
17.5,17.0,"40059"
16.3,15.1,"40018"
15.2,14.4,"40066"
16.8,15.9,"40099"
17.6,16.9,"20254"
15.0,14.4,"20103"
null,null,"50108"
13.0,12.0,"40094"
19.5,18.5,"40100"
13.5,13.1,"40039"
11.0,9.5,"40095"
14.0,13.3,"40067"
10.8,9.5,"40023"
17.2,15.9,"40075"
16.9,16.3,"20159"
16.5,15.7,"30021"
18.9,17.7,"40072"
17.0,16.5,"40019"
15.4,14.9,"40063"
16.5,15.4,"40096"
14.1,13.7,"50033"
17.4,16.6,"40080"
21.3,20.5,"40073"
18.3,16.9,"40102"
19.6,18.9,"40064"
14.9,14.4,"40010"
13.4,11.9,"40085"
10.0,9.6,"50074"
14.1,13.2,"40087"
19.1,18.6,"50034"
14.3,13.9,"50015"
17.7,17.1,"20246"
20.7,19.5,"40103"
18.7,18.0,"50045"
13.4,12.9,"50020"
10.4,9.9,"50010"
21.9,21.2,"40081"
17.6,17.0,"40026"
14.6,14.0,"50116"
7.2,6.9,"50072"
13.5,13.0,"20176"
15.8,14.7,"40088"
null,null,"40060"
11.1,10.6,"40015"
9.4,8.8,"20038"
9.8,9.2,"50046"
11.0,10.6,"50076"
17.2,16.8,"50055"
12.8,12.3,"50043"
15.6,14.9,"50021"
14.6,13.9,"50064"
17.7,17.1,"50067"
15.0,14.6,"50050"
9.4,9.0,"50073"
15.7,15.2,"50084"
13.8,13.3,"50081"
6.6,6.3,"50007"
14.8,14.0,"50026"
12.9,12.2,"50123"
14.6,13.4,"50128"
11.4,10.9,"50060"
15.1,14.5,"50047"
15.3,14.8,"50052"
19.3,18.6,"50071"
null,null,"50112"
13.5,12.8,"50044"
16.3,15.5,"50091"
17.9,17.0,"50101"
9.0,8.4,"50082"
13.9,13.4,"50039"
12.4,11.6,"50089"
17.6,17.1,"50038"
9.3,9.0,"50053"
11.3,11.0,"50035"
7.9,7.6,"50028"
13.3,12.2,"50085"
12.5,11.7,"50105"
19.8,19.0,"30137"
17.2,16.5,"30182"
9.6,9.2,"50061"
11.1,10.5,"30061"
16.3,15.2,"50095"
11.3,10.8,"50040"
14.1,13.6,"50058"
14.6,14.0,"50069"
17.1,15.8,"50075"
13.1,12.1,"50104"
17.5,17.0,"30126"
15.7,15.0,"30212"
20.3,19.5,"30123"
11.6,11.0,"50017"
4.6,4.2,"50006"
21.1,19.9,"50086"
22.7,21.5,"60036"
18.0,17.3,"30128"
15.3,14.6,"30138"
11.7,11.0,"50066"
16.0,15.5,"50077"
8.6,8.2,"50031"
21.1,20.0,"50087"
6.2,5.9,"50008"
12.6,11.3,"50113"
15.2,13.8,"50114"
9.4,9.1,"50037"
null,null,"30184"
14.7,14.3,"50079"
17.8,17.0,"20163"
14.9,14.2,"50088"
12.3,11.7,"50000"
15.5,14.9,"30066"
11.5,11.0,"50068"
11.2,10.8,"50022"
12.9,12.2,"50093"
19.7,18.9,"30142"
18.2,17.4,"30174"
14.4,13.7,"40036"
10.1,9.8,"50036"
17.1,16.5,"50106"
9.9,9.3,"50018"
16.1,15.6,"50001"
14.9,14.5,"20101"
11.6,11.1,"50002"
10.7,10.1,"50107"
12.1,11.6,"40011"
9.0,8.7,"50059"
16.3,15.5,"50099"
12.8,12.1,"50111"
null,null,"50100"
14.5,13.7,"50019"
null,null,"70011"
18.7,17.9,"50090"
13.2,12.0,"50023"
17.4,16.7,"30175"
16.6,15.8,"40012"
12.2,11.8,"50030"
null,null,"70010"
19.0,17.7,"50120"
13.6,13.1,"50057"
23.8,23.2,"20210"
17.5,16.5,"10203"
16.6,16.0,"10253"
18.0,17.5,"20089"
18.0,17.2,"20125"
18.9,18.3,"20126"
12.1,11.8,"20006"
21.9,21.1,"20083"
11.4,11.0,"20102"
15.6,14.8,"20244"
15.4,14.9,"20095"
19.0,18.4,"20070"
20.4,19.5,"40021"
14.3,13.6,"10255"
20.1,19.0,"20190"
14.5,13.7,"20191"
20.7,20.1,"20144"
11.8,11.3,"20009"
12.9,12.5,"20033"
13.2,12.8,"50011"
7.9,7.6,"20099"
15.2,14.8,"20074"
23.3,22.2,"20120"
14.3,13.6,"20177"
18.5,17.9,"20090"
8.5,8.0,"20029"
13.5,13.1,"20140"
17.4,16.6,"30135"
14.9,14.2,"20236"
9.2,8.6,"20010"
11.7,11.0,"20046"
9.9,9.5,"20064"
12.4,11.8,"20016"
17.1,16.5,"20121"
11.0,10.6,"50032"
null,null,"30187"
18.7,18.1,"30213"
18.3,17.4,"20073"
9.8,9.4,"20178"
20.3,19.7,"20157"
18.3,17.5,"30132"
14.5,13.7,"20104"
18.2,17.6,"20173"
11.8,11.3,"20175"
16.2,15.7,"20161"
20.5,19.8,"10186"
15.7,14.9,"10309"
null,null,"20241"
16.6,16.0,"20211"
13.4,12.7,"50070"
16.0,15.0,"50049"
14.6,13.7,"50115"
12.7,12.3,"20055"
10.4,9.9,"10019"
13.9,13.2,"10327"
16.1,15.4,"10261"
15.3,14.6,"10252"
14.6,14.0,"20274"
10.5,10.0,"20080"
19.5,18.9,"20084"
17.2,16.5,"50024"
11.3,10.8,"50041"
12.7,11.8,"50003"
18.2,17.4,"30125"
9.5,9.0,"20015"
21.0,19.5,"20193"
22.1,21.3,"20057"
13.5,12.8,"20091"
15.3,14.7,"20212"
18.4,17.5,"20122"
10.9,10.3,"20042"
18.8,18.2,"20127"
20.8,20.2,"20135"
16.7,16.2,"20166"
15.1,14.6,"20179"
9.1,8.8,"20030"
11.3,10.9,"20213"
16.5,16.0,"20162"
16.2,15.7,"20165"
null,null,"30183"
22.0,21.4,"40031"
24.5,24.0,"20071"
13.9,13.2,"20109"
16.4,15.8,"20085"
22.7,21.2,"20203"
13.0,12.6,"20056"
12.6,11.9,"20133"
8.8,8.2,"20065"
11.1,10.4,"20058"
6.9,6.3,"20059"
17.0,16.1,"20221"
19.4,18.7,"20198"
13.6,12.8,"20077"
20.1,19.3,"20146"
8.1,7.7,"20031"
17.5,16.9,"20134"
15.6,14.7,"20110"
12.4,11.8,"50004"
19.7,18.9,"20216"
12.7,12.4,"20105"
15.1,13.7,"20066"
14.4,13.6,"20060"
13.3,12.9,"20049"
14.3,13.9,"20052"
17.3,16.4,"50121"
14.4,13.8,"30052"
14.3,13.6,"20096"
15.2,14.4,"20215"
13.9,13.5,"20021"
13.9,12.9,"20116"
18.4,17.4,"20194"
16.7,16.1,"40009"
14.0,13.2,"20204"
14.6,13.9,"50025"
10.1,9.6,"50042"
14.4,13.8,"50014"
11.9,11.4,"50009"
15.6,14.9,"30100"
23.6,22.8,"30228"
20.8,20.1,"20174"
16.8,16.0,"20214"
19.5,18.2,"20167"
13.1,12.6,"20111"
14.8,14.0,"20158"
12.0,11.5,"20219"
15.3,14.5,"20128"
12.8,12.4,"20097"
15.1,13.8,"20199"
8.6,8.3,"20053"
19.2,18.7,"20164"
20.7,20.2,"20061"
16.6,15.3,"20256"
20.1,19.6,"20257"
17.7,17.0,"20072"
19.2,18.7,"20266"
18.3,17.7,"30131"
23.0,22.4,"20245"
13.3,12.8,"20154"
20.3,19.4,"30222"
12.8,12.2,"20112"
15.3,14.7,"30026"
19.6,18.8,"20217"
17.6,16.9,"20013"
14.8,14.0,"20106"
17.9,16.8,"20225"
18.3,17.7,"20267"
21.1,19.7,"20233"
13.5,13.0,"20220"
15.7,14.9,"20265"
13.3,12.9,"20180"
13.9,13.4,"20237"
16.6,16.2,"20117"
13.4,12.2,"20014"
14.3,13.5,"20242"
17.5,16.8,"20249"
13.7,13.0,"30161"
11.1,10.6,"20067"
11.8,11.4,"20168"
16.4,14.9,"60007"
15.5,15.0,"20019"
17.8,17.2,"20230"
13.9,13.4,"20182"
12.6,12.0,"20017"
11.8,11.0,"30047"
12.5,11.6,"20200"
17.3,16.1,"20258"
20.7,20.1,"20063"
20.1,19.2,"30181"
17.5,15.9,"20260"
18.8,18.1,"20004"
10.7,10.0,"20079"
14.2,13.4,"30152"
14.2,13.7,"60002"
24.3,22.7,"60006"
12.9,12.5,"20098"
null,null,"40077"
15.5,14.7,"30118"
14.5,13.9,"20075"
16.6,16.1,"20275"
20.6,19.8,"20188"
12.9,12.1,"20081"
16.0,15.5,"20183"
20.1,19.3,"20093"
10.3,9.9,"20034"
19.1,17.6,"20229"
8.7,8.3,"30059"
17.0,15.6,"20268"
13.2,12.5,"20018"
20.4,19.8,"20136"
24.0,23.4,"20148"
25.1,24.5,"20147"
15.0,14.5,"20086"
15.9,15.3,"20169"
15.2,14.5,"20150"
18.0,17.4,"30105"
18.9,18.4,"20170"
12.0,11.6,"30058"
16.5,15.3,"40086"
10.9,9.8,"40079"
17.9,17.2,"20171"
12.2,11.7,"30057"
17.3,16.8,"30176"
14.9,14.3,"20243"
12.3,11.4,"20205"
18.6,18.1,"20234"
15.5,14.8,"30214"
11.5,11.0,"30107"
null,null,"40083"
11.7,11.3,"20107"
13.5,13.0,"30036"
16.1,15.5,"30194"
12.8,12.3,"30215"
20.1,19.5,"30083"
15.8,14.6,"20235"
15.1,14.6,"30000"
20.4,19.7,"60008"
20.4,19.9,"40030"
18.3,17.7,"40051"
22.8,21.9,"60009"
13.4,12.7,"30012"
16.0,15.5,"30223"
8.6,8.1,"30060"
13.7,13.2,"30170"
12.7,12.2,"30014"
12.7,12.0,"60003"
23.1,22.2,"60030"
16.7,15.9,"60032"
18.6,17.7,"60025"
9.7,9.2,"30054"
14.0,13.4,"30189"
15.5,14.9,"20113"
16.3,15.6,"30095"
20.9,20.2,"30080"
22.3,21.5,"40046"
11.8,11.3,"30001"
9.3,8.7,"30172"
14.9,14.2,"30202"
14.8,14.1,"30075"
15.0,14.4,"30024"
21.9,21.1,"30141"
18.5,17.9,"30088"
16.1,15.5,"30153"
9.9,9.4,"30025"
13.5,13.0,"30196"
13.8,13.2,"30217"
15.6,15.1,"30139"
14.1,13.3,"40043"
15.9,15.3,"30096"
11.8,11.4,"50056"
17.7,17.2,"30232"
16.5,15.7,"30082"
16.9,16.3,"30114"
13.1,12.6,"30146"
19.3,18.5,"30224"
19.2,18.4,"30069"
10.8,10.3,"30013"
15.6,14.9,"30020"
12.3,11.8,"30116"
12.7,12.1,"30050"
16.5,15.7,"40052"
14.8,14.1,"30008"
11.0,10.7,"30188"
19.3,18.7,"30226"
16.4,15.8,"80001"
26.5,25.7,"60018"
12.5,11.8,"80002"
10.4,9.7,"50048"
12.1,11.4,"50029"
21.2,20.2,"30070"
14.8,14.2,"30147"
20.9,20.1,"30227"
15.6,14.8,"30101"
22.8,22.1,"30234"
13.3,12.5,"30084"
19.5,18.8,"30098"
12.9,12.4,"30191"
21.0,20.5,"30225"
17.7,16.9,"40076"
13.6,12.9,"50117"
null,null,"50109"
13.3,12.6,"50080"
18.0,17.5,"30097"
15.7,15.2,"30117"
16.0,15.4,"30119"
19.0,18.2,"30140"
13.2,12.8,"30159"
13.6,13.2,"30192"
12.3,11.7,"30027"
null,null,"70008"
13.4,12.1,"50126"
7.9,7.5,"30044"
13.9,13.3,"30205"
10.7,10.0,"30023"
null,null,"70009"
9.6,9.0,"30045"
14.3,13.5,"50078"
10.6,10.1,"30108"
9.9,9.4,"30041"
11.3,10.7,"30042"
13.9,13.2,"30112"
18.7,17.7,"30015"
16.9,15.3,"60034"
17.2,15.8,"60033"
20.7,20.1,"60028"
16.7,15.9,"60017"
17.7,17.1,"70007"
11.7,11.2,"30203"
13.7,13.0,"50124"
17.4,16.8,"30071"
12.9,12.1,"30167"
11.3,10.8,"30089"
15.7,15.0,"50122"
11.5,11.1,"30003"
13.4,12.8,"70004"
17.4,16.9,"30104"
16.7,16.0,"30218"
16.3,15.7,"30149"
14.1,13.6,"30193"
9.9,9.3,"50062"
18.8,18.2,"30102"
10.7,10.2,"30162"
14.6,13.8,"30033"
16.2,15.4,"50118"
null,null,"50102"
12.0,11.3,"30157"
13.9,13.4,"30150"
12.9,12.3,"30091"
17.9,17.3,"30111"
18.0,17.1,"30206"
17.2,16.5,"30063"
null,null,"50110"
null,null,"50094"
null,null,"50096"
15.0,14.3,"30219"
19.3,18.7,"30207"
13.0,12.5,"30178"
10.5,9.7,"50119"
21.9,21.2,"30122"
20.4,19.5,"60019"
13.5,12.9,"30120"
11.6,10.9,"30055"
18.2,17.6,"30177"
null,null,"50103"
15.6,15.0,"30081"
17.0,16.3,"60037"
16.6,15.9,"30121"
12.2,11.5,"30030"
14.1,13.4,"30028"
13.3,12.4,"30099"
13.4,12.6,"30136"
15.0,14.5,"30064"
17.1,16.2,"30051"
14.7,14.1,"70001"
12.1,11.4,"50127"
18.9,18.3,"30220"
15.1,14.5,"30208"
29.5,28.0,"60000"
14.6,13.9,"50092"
13.3,12.6,"30086"
12.0,11.5,"30156"
16.3,15.8,"30143"
15.6,15.0,"30049"
16.9,16.2,"30067"
12.1,11.5,"80009"
16.4,15.8,"30231"
12.1,11.5,"30163"
10.8,10.1,"50016"
13.3,12.6,"80018"
11.6,10.9,"30074"
17.1,16.6,"30221"
10.4,9.9,"30046"
18.7,17.9,"30072"
18.2,17.5,"30073"
10.6,10.0,"30209"
15.4,14.8,"30085"
13.4,12.7,"30029"
27.7,26.8,"30065"
14.4,14.0,"40035"
16.2,15.2,"60001"
21.1,20.3,"60041"
14.4,13.9,"30087"
18.4,17.7,"30124"
13.6,13.0,"30016"
7.4,7.0,"30043"
22.1,21.3,"30092"
13.8,13.2,"30039"
12.3,11.8,"30032"
15.5,14.7,"30010"
16.6,15.8,"30229"
9.4,8.6,"40001"
14.1,12.7,"60031"
18.5,17.8,"30127"
19.4,18.7,"30154"
17.6,16.7,"60027"
null,null,"60047"
12.6,12.2,"30009"
12.9,12.4,"30204"
16.4,15.6,"30115"
13.1,12.3,"80020"
13.5,13.0,"30173"
17.7,17.0,"30068"
24.0,23.2,"30093"
15.0,14.2,"30090"
11.8,11.2,"30200"
17.5,16.8,"30179"
20.0,19.4,"30235"
14.8,14.2,"30148"
12.5,12.0,"30210"
13.5,12.8,"30195"
17.9,17.0,"60043"
19.2,18.2,"60029"
16.0,15.3,"30034"
12.6,12.1,"30158"
13.1,12.6,"30103"
13.9,13.2,"30056"
14.9,14.4,"30031"
18.2,17.5,"30185"
12.9,12.3,"30216"
17.5,16.8,"30198"
9.3,8.7,"80021"
14.3,13.4,"60048"
16.0,15.4,"30160"
18.9,18.1,"30077"
12.9,12.2,"30053"
21.0,20.4,"30211"
11.0,10.4,"30199"
