,seat,city,state
59,Gippsland,Shire of Wellington,Victoria
60,Goldstein,City of Bayside,Victoria
61,Gorton,City of Melton,Victoria
62,Grayndler,Inner West,New South Wales
63,Greenway,Penrith,New South Wales
64,Grey,Barunga West,South Australia
65,Griffith,Brisbane,Queensland
66,Groom,Toowoomba,Queensland
67,Hasluck,Perth,Western Australia
68,Herbert,Townsville,Queensland
69,Higgins,City of Stonnington,Victoria
70,Hindmarsh,Adelaide,South Australia
71,Hinkler,Bundaberg Region,Queensland
72,Holt,City of Casey,Victoria
73,Hotham,City of Glen Eira,Victoria
74,Hughes,Liverpool,New South Wales
75,Hume,Wollondilly,New South Wales
76,Hunter,Lake Macquarie,New South Wales
77,Indi,Albury,New South Wales
78,Isaacs,City of Greater Dandenong,Victoria
79,Jagajaga,City of Banyule,Victoria
80,Kennedy,Townsville,Queensland
81,Kingsford Smith,Bayside Council,New South Wales
82,Kingston,Adelaide,South Australia
83,Kooyong,City of Boroondara,Victoria
84,La Trobe,Shire of Cardinia,Victoria
85,Lalor,City of Hobsons Bay,Victoria
86,Leichhardt,Cairns,Queensland
87,Lilley,Brisbane,Queensland
88,Lindsay,Penrith,New South Wales
89,Lingiari,Town of Alice Springs,Northern Territory
90,Longman,Caboolture,Queensland
91,Lyne,Dungog,New South Wales
92,Lyons,Launceston,Tasmania
93,Macarthur,Camden,New South Wales
94,Mackellar,Northern Beaches,New South Wales
95,Macquarie,Hawkesbury,New South Wales
96,Makin,Port Adelaide Enfield,South Australia
97,Mallee,Naracoorte Lucindale,Victoria
98,Maranoa,Brisbane,Queensland
99,Maribyrnong,City of Moonee Valley,Victoria
100,Mayo,Adelaide Hills,South Australia
101,McEwen,Shire of Nillumbik,Victoria
102,McMahon,Parramatta,New South Wales
103,McMillan,Shire of South Gippsland,Victoria
104,McPherson,Gold Coast,Queensland
105,Melbourne,City of Yarra,Victoria
106,Melbourne Ports,City of Port Phillip,Victoria
107,Menzies,City of Manningham,Victoria
108,Mitchell,Parramatta,New South Wales
109,Moncrieff,Gold Coast,Queensland
110,Moore,Joondalup,Western Australia
111,Moreton,Brisbane,Queensland
112,Murray,City of Greater Shepparton,Victoria
113,New England,Upper Hunter,New South Wales
114,Newcastle,Newcastle,New South Wales
115,North Sydney,Willoughby,New South Wales
116,OConnor,Albany,Western Australia
117,Oxley,Ipswich,Queensland
118,Page,Ballina Shire Council,New South Wales
119,Parkes,Narrabri,New South Wales
120,Parramatta,Parramatta,New South Wales
121,Paterson,Cessnock,New South Wales
122,Pearce,City of Swan,Western Australia
123,Perth,Town of Bassendean,Western Australia
124,Petrie,Brisbane,Queensland
125,Port Adelaide,Adelaide,South Australia
126,Rankin,Brisbane,Queensland
127,Reid,Canada Bay,New South Wales
128,Richmond,Ballina Shire Council,New South Wales
129,Riverina,Gundagai,New South Wales
130,Robertson,Central Coast,New South Wales
131,Ryan,Brisbane,Queensland
132,Scullin,City of Whittlesea,Victoria
133,Shortland,Central Coast,New South Wales
134,Solomon,City of Darwin,Northern Territory
135,Stirling,Perth,Western Australia
136,Sturt,Adelaide,South Australia
137,Swan,Perth,Western Australia
138,Sydney,Sydney,New South Wales
139,Tangney,Perth,Western Australia
140,Wakefield,Adelaide,South Australia
141,Wannon,City of Warrnambool,Victoria
142,Warringah,Northern Beaches,New South Wales
143,Watson,Canterbury-Bankstown,New South Wales
144,Wentworth,Woollahra,New South Wales
145,Werriwa,Liverpool,New South Wales
146,Whitlam,Shellharbour,New South Wales
147,Wide Bay,Maryborough,Queensland
148,Wills,City of Moreland,Victoria
149,Wright,Toowoomba,Queensland
