admis_mental_hlth_rltd_cond_p_all_hosps_2016_17_asr_100k, admis_mood_affective_disorders_p_all_hosps_2016_17_num, admis_mental_hlth_rltd_cond_p_all_hosps_2016_17_sr, admis_mental_hlth_rltd_cond_p_pub_hosps_2016_17_sig, admis_mental_hlth_rltd_cond_p_all_hosps_2016_17_num, admis_mood_affective_disorders_p_all_hosps_2016_17_sig, admis_mental_hlth_rltd_cond_p_pub_hosps_2016_17_num, admis_mental_hlth_rltd_cond_p_all_hosps_2016_17_sig, admis_mood_affective_disorders_p_pub_hosps_2016_17_asr_100k, admis_mood_affective_disorders_p_pub_hosps_2016_17_sr, admis_mood_affective_disorders_p_all_hosps_2016_17_asr_100k, admis_mood_affective_disorders_p_pub_hosps_2016_17_num, admis_mental_hlth_rltd_cond_p_pub_hosps_2016_17_sr, admis_mood_affective_disorders_p_all_hosps_2016_17_sr, admis_mental_hlth_rltd_cond_p_pub_hosps_2016_17_asr_100k, admis_mood_affective_disorders_p_pub_hosps_2016_17_sig, pha_code16
1207.7,63,64,"*",224,"**",154,"**",188.5,87,329.9,37,82,53,818.0,null,"10292"
2805.3,229,149,"**",916,null,386,"**",228.4,106,690.9,72,123,110,1227.2,null,"10069"
1236.4,92,66,null,404,"**",338,"**",254.0,117,289.3,81,103,46,1028.6,null,"10049"
1453.2,57,77,null,299,"**",206,"**",115.9,54,293.7,22,101,47,1006.7,"**","10119"
2182.7,199,116,"*",452,"**",177,"**",110.2,51,1003.7,23,83,160,826.8,"**","10284"
2472.5,186,131,"**",686,null,225,"**",153.1,71,687.7,42,80,110,799.8,"*","10042"
1199.4,69,64,null,192,"**",177,"**",402.7,186,439.0,62,112,70,1117.3,"**","20005"
1617.0,170,86,"**",566,"**",402,"**",224.1,104,490.5,79,114,78,1136.9,null,"10173"
1636.9,146,87,"**",364,null,167,"**",147.9,68,649.5,33,76,104,757.8,"*","10103"
1693.7,91,90,"**",558,"**",433,"*",193.4,89,279.9,64,130,45,1298.8,null,"10050"
2027.4,257,108,"**",772,null,441,"*",194.3,90,666.5,76,115,107,1150.2,null,"10007"
1886.4,195,100,"**",686,"*",241,null,129.4,60,525.3,48,67,84,666.1,"**","10091"
2413.0,241,128,"**",442,"**",147,"**",90.4,42,1293.9,17,80,207,800.7,"**","10270"
2349.9,75,125,null,140,"**",49,"**",null,null,1204.6,null,84,193,839.8,null,"10271"
1857.2,105,99,"**",149,"**",29,null,122.3,57,1299.0,10,36,208,356.0,null,"20026"
1541.5,135,82,null,449,"**",291,"**",138.1,64,461.5,41,99,74,989.0,"**","10220"
1620.0,53,86,"*",152,null,112,null,359.8,166,531.2,36,121,85,1206.6,"**","10318"
1588.8,126,84,"*",646,"**",364,"**",157.6,73,318.7,63,89,51,884.8,"*","10064"
2088.2,214,111,null,851,"*",431,"**",195.3,90,529.8,78,107,85,1065.6,null,"10022"
3291.4,214,175,null,622,"**",192,"**",215.7,100,1097.3,41,105,175,1043.5,null,"10106"
1690.4,45,90,null,122,null,69,null,190.7,88,606.2,14,97,97,968.4,null,"10182"
3088.4,397,164,null,1220,"**",401,"**",161.8,75,967.6,65,104,155,1038.9,"*","10107"
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"10108"
3628.2,198,193,null,321,"**",100,"**",98.7,46,2192.9,9,113,351,1128.9,"*","10278"
2077.4,21,110,"*",51,null,36,null,276.5,128,812.5,7,151,130,1503.3,null,"10164"
2938.6,193,156,null,588,"**",176,"**",175.5,81,907.2,36,92,145,916.2,null,"10105"
2479.4,228,132,"**",450,"**",133,"**",136.7,63,1154.8,26,77,185,769.2,"*","10246"
2243.8,262,119,"**",1036,null,566,"**",170.4,79,585.6,77,122,94,1211.7,"*","10021"
2989.3,445,159,null,737,"**",230,"**",128.5,59,1775.2,33,93,284,921.6,"**","10279"
1310.6,26,70,"**",165,"**",153,"**",117.0,54,198.5,15,125,32,1243.3,"*","10252"
1661.7,189,88,null,637,"**",361,"**",188.7,87,484.5,72,96,77,960.9,null,"10142"
1595.4,85,85,"**",405,"**",349,"**",217.2,100,337.6,54,139,54,1385.5,null,"10162"
1824.4,30,97,"**",192,"**",157,null,219.4,101,276.7,23,154,44,1536.1,null,"10193"
1661.4,93,88,null,287,null,157,"*",237.4,110,515.1,44,91,82,903.7,null,"10326"
1648.6,34,88,null,189,"**",111,null,98.3,45,301.4,11,98,48,972.1,"**","10031"
1211.3,null,64,null,167,null,156,"**",217.4,100,null,30,112,null,1119.2,null,"40061"
null,null,null,"*",null,null,27,null,167.5,77,null,7,65,null,652.0,null,"50096"
2976.3,139,158,"**",541,"*",358,"**",394.9,183,770.3,71,199,123,1982.3,"**","10098"
1625.9,32,86,null,65,null,31,null,121.8,56,741.5,5,82,119,818.0,null,"10161"
1586.0,86,84,"**",234,null,93,"**",130.1,60,566.3,19,65,91,652.5,"*","10201"
1783.6,82,95,"**",372,"**",360,null,357.4,165,382.8,76,175,61,1743.7,"**","10195"
1839.9,243,98,"*",616,"*",289,null,308.4,143,730.6,103,86,117,861.1,"**","10096"
2646.0,381,140,"**",1218,"**",317,"**",110.4,51,840.0,50,69,134,689.5,"**","10043"
1478.2,75,78,null,414,"**",302,"**",146.6,68,272.9,40,109,44,1081.8,"*","10028"
2455.3,284,130,"**",956,"**",605,"**",324.2,150,731.6,125,157,117,1564.4,"**","10099"
1962.1,156,104,null,444,null,231,null,102.8,48,684.8,24,101,109,1005.8,"**","10011"
1257.2,55,67,null,176,"**",null,"**",null,null,387.8,null,null,62,null,null,"80022"
2480.3,118,132,"**",419,null,194,"**",370.9,171,656.9,63,121,105,1207.8,"**","10294"
2006.4,87,106,null,224,null,97,null,103.7,48,723.5,12,91,116,908.6,"**","10236"
2232.2,133,118,null,616,"*",306,"**",174.2,81,502.8,47,110,80,1091.1,null,"10072"
null,null,null,null,null,null,156,null,412.4,191,null,61,107,null,1062.0,"**","40045"
726.5,36,39,"**",147,"**",90,"**",83.5,39,179.2,17,44,29,442.4,"**","20054"
1919.7,79,102,null,202,null,105,null,290.2,134,729.3,30,104,117,1036.4,null,"10295"
1036.0,59,55,"**",270,"**",206,"**",127.7,59,226.9,33,80,36,793.8,"**","10143"
2899.7,229,154,"**",568,"**",250,"**",260.1,120,1136.2,51,132,182,1310.3,null,"10001"
1594.7,110,85,"**",371,"**",291,"**",279.2,129,477.0,64,126,76,1255.5,"*","10102"
1131.7,39,60,null,119,"**",101,"**",257.6,119,357.8,27,100,57,996.7,null,"10166"
999.2,57,53,"*",189,"**",152,"**",173.6,80,290.8,34,81,46,809.4,null,"10196"
921.1,120,49,"**",212,"**",143,"**",283.7,131,494.1,66,65,79,648.8,"*","40003"
1124.4,null,60,null,154,null,146,"**",224.3,104,null,31,108,null,1075.8,null,"10194"
1854.9,186,98,"**",528,null,198,null,164.0,76,649.7,47,70,104,696.5,null,"10121"
1639.9,null,87,"**",404,null,356,"**",283.7,131,null,72,146,null,1452.7,"*","10313"
1395.6,43,74,null,128,"*",96,"**",319.9,148,443.0,31,107,71,1063.4,"*","10319"
2125.7,215,113,null,813,null,370,"**",153.5,71,569.2,57,98,91,978.5,"**","10109"
3085.6,339,164,null,1306,"**",392,"**",259.1,120,798.9,109,93,128,931.3,null,"10068"
2356.1,390,125,null,1190,"**",477,"**",138.5,64,794.7,68,95,127,942.1,"**","10067"
1074.1,92,57,"**",426,"**",315,"**",119.8,55,233.4,47,80,37,796.7,"**","10144"
2098.8,145,111,null,622,"**",311,"**",197.0,91,491.4,58,106,79,1052.0,null,"10073"
1369.4,65,73,null,208,"**",153,"**",222.2,103,410.7,35,102,66,1018.8,null,"10177"
1775.9,125,94,"**",495,"**",193,null,181.9,84,446.3,51,70,71,692.7,null,"10150"
1082.8,83,57,"**",260,"**",158,"**",91.0,42,357.1,21,66,57,659.5,"**","20023"
1419.2,39,75,null,171,"**",124,"**",159.4,74,320.3,20,102,51,1011.9,null,"10298"
1123.6,null,60,null,163,null,129,"**",147.8,68,null,22,93,null,928.1,null,"10299"
1907.1,243,101,"**",742,null,261,null,173.9,80,610.3,69,68,98,675.3,null,"10016"
1949.7,226,103,"**",541,"**",124,null,150.6,70,811.2,41,46,130,455.4,"*","10017"
2350.8,269,125,"**",846,"**",185,"**",107.5,50,732.7,39,52,117,521.8,"**","10015"
1397.2,132,74,null,614,"**",463,"**",166.1,77,305.7,72,105,49,1049.3,"*","10147"
2573.4,122,137,null,232,"**",80,"**",130.6,60,1343.1,12,89,215,882.0,null,"10274"
1717.6,47,91,null,286,"**",164,null,163.2,75,277.5,28,98,44,979.7,null,"10175"
1637.3,131,87,"**",360,null,171,"**",139.7,65,596.6,31,78,95,773.5,"*","10202"
2008.7,324,107,"**",568,"**",197,null,101.4,47,1144.3,29,69,183,692.1,"**","10272"
2114.8,334,112,"**",1133,null,345,"**",140.5,65,644.7,73,64,103,639.9,"**","10077"
1492.2,42,79,null,275,"**",210,"**",147.0,68,230.7,27,113,37,1129.9,"*","10123"
1526.6,12,81,"**",169,"**",84,"**",56.8,26,114.9,6,75,18,748.3,"**","20007"
1971.4,146,105,null,410,null,223,null,142.7,66,696.2,30,108,111,1072.8,"*","10010"
1812.6,98,96,"**",359,"*",264,null,252.8,117,494.2,49,136,79,1355.9,null,"10100"
2533.5,154,134,"**",610,null,163,"**",86.8,40,635.8,21,68,102,679.6,"**","10044"
1067.1,32,57,null,56,null,39,"**",355.0,164,607.7,18,77,97,762.8,"*","20155"
1392.6,12,74,null,53,"**",44,"*",180.1,83,299.6,7,119,48,1190.1,null,"50126"
796.6,38,42,"**",138,"**",79,"**",113.6,53,226.9,19,46,36,455.2,"**","10139"
2225.0,186,118,"**",640,null,334,"**",326.8,151,640.3,97,115,102,1147.3,"**","10189"
2187.4,159,116,null,624,null,310,"**",153.0,71,570.1,42,110,91,1094.4,"*","10045"
1323.7,null,70,null,101,null,91,"**",253.5,117,null,20,119,null,1187.5,null,"10254"
1842.1,37,98,"**",131,null,119,null,381.9,176,511.6,28,167,82,1664.3,"**","10165"
2028.1,97,108,"*",328,null,194,null,238.6,110,595.2,39,120,95,1198.7,null,"10231"
1227.5,107,65,"**",446,"**",245,"**",61.3,28,311.3,21,67,50,671.6,"**","20025"
1575.1,51,84,null,147,null,81,"*",113.0,52,535.3,11,86,86,858.2,"*","10176"
1935.7,75,103,null,308,"**",null,null,null,null,432.4,null,null,69,null,null,"30203"
2014.8,275,107,"**",854,null,309,null,138.5,64,655.6,57,74,105,738.1,"**","10086"
1998.2,205,106,"**",686,null,228,null,112.0,52,599.7,39,66,96,655.1,"**","10093"
1631.8,95,87,null,390,"**",267,"**",155.5,72,393.9,38,112,63,1112.4,"*","10221"
1415.5,145,75,null,308,null,208,"**",274.8,127,667.5,61,95,107,942.4,null,"40015"
3151.8,436,167,"**",1088,"**",165,"**",80.9,37,1310.3,27,48,210,474.8,"**","20044"
1591.7,155,84,"**",538,"**",227,"**",188.1,87,452.6,63,69,72,684.0,null,"10151"
851.9,9,45,"**",47,"**",28,"**",null,null,154.7,null,53,25,531.0,null,"10199"
1130.5,65,60,null,108,null,74,"**",342.9,158,658.1,33,80,105,796.1,"**","40008"
1167.0,null,62,null,82,null,77,"**",547.1,253,null,38,115,null,1141.6,"**","50119"
1896.9,282,101,"**",1027,"**",386,null,182.8,84,520.7,101,71,83,703.4,null,"10152"
2071.6,280,110,"**",861,null,268,"**",144.6,67,679.7,59,65,109,648.0,"**","10092"
1212.8,73,64,"*",228,"**",152,"**",127.7,59,389.0,24,81,62,809.4,"**","10197"
4287.7,414,228,null,599,"**",null,"**",null,null,2852.8,null,null,456,null,null,"60013"
2446.2,132,130,null,241,"**",null,"**",null,null,1311.9,null,null,210,null,null,"60021"
1923.1,189,102,"**",517,null,138,null,120.1,56,683.5,33,52,109,520.3,"**","10018"
1189.3,65,63,"*",202,"**",141,"**",169.6,78,388.7,29,82,62,815.2,null,"10198"
1147.2,null,61,null,148,null,121,"**",188.7,87,null,25,98,null,973.0,null,"10157"
717.3,null,38,"**",116,null,110,"**",152.4,70,null,25,70,null,702.0,null,"40002"
null,null,null,null,null,null,27,null,null,null,null,null,115,null,1149.6,null,"40082"
940.3,47,50,null,149,"**",136,"**",240.2,111,284.4,39,88,45,875.1,null,"20274"
2943.9,234,156,"**",981,"*",435,"**",184.5,85,712.3,60,132,114,1311.5,null,"10074"
1632.9,117,87,"**",298,null,136,"*",193.8,90,632.0,35,76,101,761.6,null,"10104"
1847.3,75,98,"**",292,"**",202,null,194.1,90,448.4,32,131,72,1307.6,null,"10259"
1868.4,169,99,"**",414,"*",159,null,103.9,48,734.1,25,70,117,701.9,"**","10237"
2227.4,null,118,"**",493,null,481,"**",561.0,259,null,125,215,null,2141.6,"**","40022"
1052.1,30,56,null,141,"**",121,"**",111.3,51,211.4,15,95,34,946.3,"**","50124"
1955.0,255,104,"**",759,null,237,null,157.4,73,649.9,62,61,104,610.9,"*","10083"
2294.2,322,122,"**",1101,null,561,"**",299.1,138,682.0,140,118,109,1174.0,"**","10133"
1433.6,37,76,null,121,"*",79,"**",155.9,72,441.6,13,94,71,938.7,null,"10222"
2230.2,377,118,"*",1357,null,670,"**",166.9,77,661.5,96,109,106,1082.3,"*","10128"
null,null,null,"**",null,null,301,null,814.5,376,null,91,281,null,2794.9,"**","40097"
1092.0,97,58,null,272,"**",233,"**",270.4,125,382.5,69,94,61,938.3,null,"40041"
1855.4,79,98,null,168,"*",73,null,97.5,45,832.4,9,83,133,829.0,"*","10204"
1248.8,76,66,"**",340,"**",319,"**",265.0,122,283.1,71,117,45,1169.6,null,"40053"
null,null,null,"*",null,null,47,null,337.8,156,null,12,141,null,1405.7,null,"10170"
1822.2,151,97,"**",251,"**",77,null,80.7,37,1118.7,11,56,179,554.3,"**","10280"
2538.8,270,135,"**",799,"**",363,"**",309.0,143,852.1,97,117,136,1166.3,"**","10110"
1445.5,132,77,"**",534,"**",461,"**",234.8,109,348.9,89,126,56,1251.8,null,"40037"
2513.6,327,133,"**",1236,"*",599,"**",364.7,169,705.0,169,122,113,1215.1,"**","10038"
2010.0,311,107,null,997,null,452,"*",183.3,85,625.1,91,92,100,914.0,null,"10132"
1723.0,242,91,"**",811,"**",334,"*",146.2,68,529.5,66,72,85,712.8,"**","10024"
2221.1,179,118,"**",760,"*",210,"**",162.5,75,517.4,56,62,83,618.5,"*","10153"
1502.4,136,80,null,298,null,null,"**",null,null,689.6,null,null,110,null,null,"80000"
2168.4,282,115,"**",516,"**",184,"**",92.2,43,1176.5,22,78,188,778.1,"**","10273"
2660.7,344,141,"**",784,"**",253,"**",216.0,100,1156.5,67,84,185,835.0,null,"10002"
1801.1,232,96,"**",727,null,322,null,155.6,72,576.0,62,81,92,803.4,"**","10122"
2502.3,134,133,"**",652,"*",310,"**",146.4,68,508.1,37,123,81,1227.7,"*","10116"
2694.2,182,143,"**",551,"**",254,"**",311.9,144,901.3,62,126,144,1254.9,"**","10111"
2042.9,74,108,"**",272,null,193,null,234.5,108,552.7,32,144,88,1432.1,null,"10300"
1963.8,66,104,"**",459,"**",397,null,206.7,96,280.8,49,170,45,1693.5,null,"10156"
1276.0,27,68,"**",69,null,30,"**",88.7,41,474.1,5,57,76,565.0,"*","10296"
1105.7,39,59,null,172,"**",134,"**",122.3,57,255.1,19,85,41,849.9,"*","10124"
1312.1,103,70,"*",442,"**",289,"**",149.7,69,305.4,50,87,49,864.8,"**","10141"
1247.8,145,66,"**",613,"**",398,"**",119.9,55,294.2,59,82,47,813.3,"**","10145"
1603.3,95,85,null,351,"**",214,"**",130.9,61,440.3,29,97,70,961.8,"**","10232"
486.1,8,26,null,23,"**",null,"**",null,null,176.6,null,null,28,null,null,"80024"
1525.9,66,81,"**",270,"**",123,"**",96.4,45,401.5,16,69,64,684.4,"**","10075"
2749.3,218,146,null,503,"**",167,"**",224.3,104,1139.0,42,94,182,937.8,null,"10000"
null,null,null,null,null,null,45,null,238.7,110,null,15,76,null,754.1,null,"10260"
2640.2,348,140,null,833,"**",313,"**",181.4,84,1102.9,58,99,176,983.5,null,"10003"
1635.0,148,87,null,416,null,260,"**",168.6,78,653.6,42,96,104,957.9,null,"20138"
1764.6,68,94,"**",335,"**",254,null,279.9,129,354.3,55,132,57,1319.8,null,"10185"
1546.7,193,82,"*",647,"**",471,"**",344.2,159,478.5,140,112,77,1115.1,"**","10125"
1265.0,76,67,null,237,"**",187,"**",299.1,138,393.5,58,101,63,1002.5,"*","20264"
887.4,116,47,"**",363,"**",250,"**",133.2,62,283.9,54,62,45,616.8,"**","10138"
1370.3,104,73,null,646,"**",512,"**",165.9,77,224.1,78,108,36,1074.0,"*","10051"
2549.7,178,135,"**",676,null,321,"**",185.8,86,673.2,49,122,108,1216.6,null,"10126"
1158.9,48,62,null,224,"**",205,"**",195.3,90,252.2,38,105,40,1041.4,null,"10308"
1302.9,88,69,"**",163,null,73,"**",null,null,684.3,null,60,109,597.2,null,"20050"
2491.0,320,132,"**",1245,null,584,"**",223.2,103,660.4,109,116,106,1157.2,null,"10127"
2340.2,191,124,null,503,"**",228,"**",170.9,79,892.7,36,108,143,1071.9,null,"10285"
1922.4,103,102,"**",391,"*",247,null,178.1,82,493.8,36,125,79,1246.9,null,"10233"
1607.3,130,85,"**",630,"**",475,"**",143.0,66,336.2,55,122,54,1216.9,"**","10148"
2009.2,222,107,"**",681,null,290,null,187.2,87,669.3,62,85,107,851.0,null,"10081"
2301.3,132,122,null,302,"**",124,"**",148.6,69,1014.4,19,96,162,957.2,null,"10287"
1933.0,17,103,null,92,"*",51,null,null,null,354.3,null,108,57,1071.5,null,"10146"
1182.9,99,63,"**",301,"**",205,"**",183.6,85,399.8,45,81,64,804.5,null,"10140"
4244.3,597,225,"**",1833,"**",635,"**",268.2,124,1425.5,114,146,228,1450.1,"*","20137"
1501.8,108,80,"**",608,"**",347,"**",153.1,71,273.9,61,85,44,848.9,"**","10059"
3043.9,153,162,"**",387,"**",162,"**",203.3,94,1193.6,26,128,191,1280.0,null,"10004"
3761.2,713,200,"**",1465,"**",848,"**",697.3,322,1833.2,268,220,293,2195.1,"**","20172"
1988.0,163,106,"**",469,null,148,null,205.6,95,685.0,49,63,110,628.3,null,"10084"
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"80023"
2570.8,315,136,"*",1023,"**",348,"**",225.9,104,802.2,88,88,128,877.9,null,"10078"
1525.9,156,81,null,236,"**",null,"**",null,null,985.5,null,null,158,null,null,"60022"
4791.2,307,254,null,1157,"**",null,"**",null,null,1275.3,null,null,204,null,null,"60015"
2867.8,76,152,null,187,"**",null,"**",null,null,1139.5,null,null,182,null,null,"60011"
1628.9,113,86,null,415,"**",233,"**",178.3,82,443.3,46,91,71,908.1,null,"10056"
1479.7,25,79,"**",200,"**",104,"**",95.2,44,185.4,13,77,30,764.4,"**","10065"
1840.0,343,98,"**",1030,null,695,null,306.6,142,611.6,168,127,98,1263.8,"**","10101"
1208.0,30,64,null,185,"**",130,"**",110.3,51,181.4,17,91,29,906.6,"**","10302"
1361.4,26,72,null,109,"**",86,"**",218.5,101,303.1,18,113,48,1124.5,null,"10320"
2178.5,101,116,"**",368,null,252,"**",258.0,119,581.2,45,151,93,1500.6,null,"10180"
2360.1,65,125,"**",199,null,130,"**",337.6,156,725.1,29,162,116,1613.9,"*","10179"
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"10224"
1558.7,171,83,"**",780,"**",382,"**",153.9,71,341.2,77,77,55,765.4,"**","10066"
2040.4,60,108,"**",300,"**",280,null,357.5,165,400.7,54,191,64,1901.9,"**","10238"
1768.4,89,94,"**",399,"**",343,null,243.9,113,365.9,57,160,59,1589.9,null,"10239"
1881.1,174,100,null,643,null,326,null,137.6,64,553.4,46,92,88,915.5,"**","10046"
2102.5,186,112,null,701,null,332,"**",191.8,89,572.0,63,99,91,986.8,null,"10112"
6250.8,127,332,null,399,"**",null,"**",null,null,1998.5,null,null,320,null,null,"60016"
1594.4,117,85,"**",355,"*",129,"**",121.6,56,503.5,28,59,81,588.6,"**","10227"
1555.3,231,83,null,744,"**",462,"**",254.2,117,502.8,118,96,80,953.2,null,"10057"
2870.6,344,152,null,768,"**",272,"**",300.7,139,1239.9,82,104,198,1036.2,"**","10303"
2391.0,165,127,null,404,"**",191,"**",171.3,79,971.5,29,114,155,1134.1,null,"10286"
2416.8,323,128,"**",1200,null,607,"**",196.0,91,650.2,96,124,104,1236.5,null,"10023"
4033.0,206,214,null,379,"**",null,"**",null,null,2182.1,null,null,349,null,null,"60010"
1870.3,64,99,null,235,"*",129,null,269.8,125,483.5,34,108,77,1074.5,null,"10190"
1487.6,63,79,"**",260,"**",122,"**",62.7,29,356.0,11,71,57,705.7,"**","10205"
812.3,30,43,"**",109,"**",97,"**",173.1,80,206.8,24,76,33,760.7,null,"20192"
2172.1,198,115,"**",383,"**",140,"**",116.2,54,1056.1,22,80,169,800.9,"**","10242"
1779.3,50,94,null,122,null,52,null,140.8,65,687.0,10,79,110,783.8,null,"10212"
1983.6,50,105,null,156,null,86,null,214.4,99,607.0,17,114,97,1134.4,null,"10297"
1927.4,140,102,"**",701,"**",481,null,181.8,84,393.1,64,133,63,1329.3,null,"10120"
2089.1,278,111,"**",558,"**",214,"*",143.0,66,1053.9,38,80,168,797.9,"*","20130"
1688.9,null,90,"**",267,null,242,null,295.1,136,null,47,154,null,1538.4,"*","10301"
8021.0,194,426,null,374,"**",null,"**",null,null,4178.4,null,null,668,null,null,"60004"
1809.5,93,96,"**",290,null,265,null,478.0,221,570.2,79,165,91,1645.9,"**","10310"
2864.4,224,152,"**",821,"**",350,"**",258.2,119,791.7,71,125,127,1242.3,null,"10070"
1368.0,85,73,null,469,"**",359,"**",134.9,62,254.2,45,105,41,1045.2,"**","10149"
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"10241"
1324.2,26,70,null,52,null,44,"*",482.2,223,648.2,19,115,104,1141.2,"**","10218"
2224.2,141,118,null,541,null,268,"**",270.1,125,617.3,64,107,99,1068.3,null,"10135"
1393.6,40,74,null,168,"**",132,"**",178.8,83,316.6,23,110,51,1092.1,null,"10240"
1688.4,39,90,null,172,"**",null,null,null,null,386.1,null,null,62,null,null,"70013"
1898.2,25,101,null,90,null,48,null,null,null,506.1,null,104,81,1035.5,null,"10174"
2268.3,239,120,"**",655,"**",353,"**",157.3,73,846.7,45,121,135,1206.3,"*","10288"
1644.5,20,87,"**",84,"*",74,null,239.3,111,398.5,12,145,64,1446.7,null,"10268"
2264.7,74,120,null,168,"**",64,"*",120.7,56,978.9,9,88,157,875.8,null,"10208"
1860.5,215,99,null,562,null,281,null,191.9,89,707.1,58,94,113,937.5,null,"10184"
1526.6,79,81,null,218,null,120,"**",88.7,41,545.1,13,84,87,836.4,"**","10178"
1378.3,41,73,null,298,"**",242,"**",103.7,48,194.7,22,112,31,1111.7,"**","10029"
1531.1,51,81,"*",263,"**",202,"**",207.0,96,279.3,38,119,45,1188.7,null,"10187"
2595.3,291,138,"**",710,"**",225,"**",109.1,50,1059.5,30,83,169,823.7,"**","10207"
1929.5,57,102,"**",162,null,129,null,629.0,291,705.1,52,151,113,1501.5,"**","20082"
2214.0,253,118,"**",631,"**",236,"**",99.3,46,901.4,28,83,144,825.0,"**","10209"
2056.1,343,109,null,1233,null,597,"**",110.4,51,576.6,66,100,92,992.8,"**","10047"
873.7,39,46,"**",118,"**",80,"**",243.6,113,279.5,34,60,45,596.7,null,"20218"
2538.5,173,135,null,666,null,null,"**",null,null,642.6,null,null,103,null,null,"30190"
3118.7,316,166,"**",1430,null,349,"**",128.7,59,691.0,58,77,110,769.1,"**","10089"
3145.4,247,167,"**",940,"**",405,"**",194.0,90,851.7,56,136,136,1353.6,null,"10033"
2033.3,147,108,"**",655,"**",191,null,103.1,48,441.2,33,62,71,613.9,"**","10154"
2352.9,134,125,"**",215,"**",123,"**",580.2,268,1433.9,55,134,229,1335.5,"**","10304"
2169.1,186,115,"**",584,null,352,"**",174.1,80,690.9,46,133,110,1326.9,null,"10289"
1211.9,85,64,"**",351,"**",207,"**",135.0,62,303.2,38,71,48,709.1,"**","20002"
704.4,31,37,null,146,"**",null,"**",null,null,159.6,null,null,26,null,null,"70005"
931.7,29,49,null,104,"**",null,"**",null,null,253.1,null,null,40,null,null,"80017"
1344.8,131,71,null,397,"**",282,"**",204.1,94,432.7,59,100,69,991.7,null,"10163"
